Date,Time,Day,Road_ID,Weather,Vehicle_Count,Congestion_Level
2026-02-06,00:00,Friday,ORR_23,Clear,21,Low
2026-02-06,00:00,Friday,MG_ROAD,Clear,6,Low
2026-02-06,00:00,Friday,HSR_LAYOUT_1,Rainy,14,Low
2026-02-06,00:00,Friday,KORAMANGALA_100FT,Rainy,27,Low
2026-02-06,00:00,Friday,WHITEFIELD_MAIN,Clear,6,Low
2026-02-06,00:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,7,Low
2026-02-06,00:15,Friday,ORR_23,Clear,43,Low
2026-02-06,00:15,Friday,MG_ROAD,Clear,20,Low
2026-02-06,00:15,Friday,HSR_LAYOUT_1,Clear,1,Low
2026-02-06,00:15,Friday,KORAMANGALA_100FT,Rainy,134,High
2026-02-06,00:15,Friday,WHITEFIELD_MAIN,Clear,2,Low
2026-02-06,00:15,Friday,ELECTRONIC_CITY_PHASE_1,Clear,2,Low
2026-02-06,00:30,Friday,ORR_23,Clear,16,Low
2026-02-06,00:30,Friday,MG_ROAD,Clear,0,Low
2026-02-06,00:30,Friday,HSR_LAYOUT_1,Clear,0,Low
2026-02-06,00:30,Friday,KORAMANGALA_100FT,Rainy,2,Low
2026-02-06,00:30,Friday,WHITEFIELD_MAIN,Cloudy,0,Low
2026-02-06,00:30,Friday,ELECTRONIC_CITY_PHASE_1,Clear,18,Low
2026-02-06,00:45,Friday,ORR_23,Clear,0,Low
2026-02-06,00:45,Friday,MG_ROAD,Clear,0,Low
2026-02-06,00:45,Friday,HSR_LAYOUT_1,Clear,20,Low
2026-02-06,00:45,Friday,KORAMANGALA_100FT,Clear,4,Low
2026-02-06,00:45,Friday,WHITEFIELD_MAIN,Clear,12,Low
2026-02-06,00:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,0,Low
2026-02-06,01:00,Friday,ORR_23,Clear,1,Low
2026-02-06,01:00,Friday,MG_ROAD,Clear,10,Low
2026-02-06,01:00,Friday,HSR_LAYOUT_1,Cloudy,0,Low
2026-02-06,01:00,Friday,KORAMANGALA_100FT,Clear,11,Low
2026-02-06,01:00,Friday,WHITEFIELD_MAIN,Rainy,3,Low
2026-02-06,01:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,6,Low
2026-02-06,01:15,Friday,ORR_23,Clear,0,Low
2026-02-06,01:15,Friday,MG_ROAD,Clear,36,Low
2026-02-06,01:15,Friday,HSR_LAYOUT_1,Rainy,7,Low
2026-02-06,01:15,Friday,KORAMANGALA_100FT,Clear,0,Low
2026-02-06,01:15,Friday,WHITEFIELD_MAIN,Clear,25,Low
2026-02-06,01:15,Friday,ELECTRONIC_CITY_PHASE_1,Cloudy,0,Low
2026-02-06,01:30,Friday,ORR_23,Clear,16,Low
2026-02-06,01:30,Friday,MG_ROAD,Clear,0,Low
2026-02-06,01:30,Friday,HSR_LAYOUT_1,Clear,0,Low
2026-02-06,01:30,Friday,KORAMANGALA_100FT,Clear,9,Low
2026-02-06,01:30,Friday,WHITEFIELD_MAIN,Clear,24,Low
2026-02-06,01:30,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,19,Low
2026-02-06,01:45,Friday,ORR_23,Clear,9,Low
2026-02-06,01:45,Friday,MG_ROAD,Clear,4,Low
2026-02-06,01:45,Friday,HSR_LAYOUT_1,Clear,0,Low
2026-02-06,01:45,Friday,KORAMANGALA_100FT,Clear,0,Low
2026-02-06,01:45,Friday,WHITEFIELD_MAIN,Clear,2,Low
2026-02-06,01:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,33,Low
2026-02-06,02:00,Friday,ORR_23,Clear,18,Low
2026-02-06,02:00,Friday,MG_ROAD,Rainy,163,High
2026-02-06,02:00,Friday,HSR_LAYOUT_1,Clear,9,Low
2026-02-06,02:00,Friday,KORAMANGALA_100FT,Clear,2,Low
2026-02-06,02:00,Friday,WHITEFIELD_MAIN,Clear,0,Low
2026-02-06,02:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,24,Low
2026-02-06,02:15,Friday,ORR_23,Rainy,36,Low
2026-02-06,02:15,Friday,MG_ROAD,Clear,22,Low
2026-02-06,02:15,Friday,HSR_LAYOUT_1,Cloudy,0,Low
2026-02-06,02:15,Friday,KORAMANGALA_100FT,Clear,3,Low
2026-02-06,02:15,Friday,WHITEFIELD_MAIN,Clear,16,Low
2026-02-06,02:15,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,35,Low
2026-02-06,02:30,Friday,ORR_23,Rainy,6,Low
2026-02-06,02:30,Friday,MG_ROAD,Clear,6,Low
2026-02-06,02:30,Friday,HSR_LAYOUT_1,Clear,0,Low
2026-02-06,02:30,Friday,KORAMANGALA_100FT,Rainy,0,Low
2026-02-06,02:30,Friday,WHITEFIELD_MAIN,Clear,25,Low
2026-02-06,02:30,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,42,Low
2026-02-06,02:45,Friday,ORR_23,Clear,10,Low
2026-02-06,02:45,Friday,MG_ROAD,Clear,24,Low
2026-02-06,02:45,Friday,HSR_LAYOUT_1,Rainy,11,Low
2026-02-06,02:45,Friday,KORAMANGALA_100FT,Clear,0,Low
2026-02-06,02:45,Friday,WHITEFIELD_MAIN,Clear,17,Low
2026-02-06,02:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,42,Low
2026-02-06,03:00,Friday,ORR_23,Clear,11,Low
2026-02-06,03:00,Friday,MG_ROAD,Clear,32,Low
2026-02-06,03:00,Friday,HSR_LAYOUT_1,Cloudy,0,Low
2026-02-06,03:00,Friday,KORAMANGALA_100FT,Clear,17,Low
2026-02-06,03:00,Friday,WHITEFIELD_MAIN,Clear,12,Low
2026-02-06,03:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,6,Low
2026-02-06,03:15,Friday,ORR_23,Clear,13,Low
2026-02-06,03:15,Friday,MG_ROAD,Clear,0,Low
2026-02-06,03:15,Friday,HSR_LAYOUT_1,Clear,3,Low
2026-02-06,03:15,Friday,KORAMANGALA_100FT,Rainy,13,Low
2026-02-06,03:15,Friday,WHITEFIELD_MAIN,Clear,37,Low
2026-02-06,03:15,Friday,ELECTRONIC_CITY_PHASE_1,Clear,1,Low
2026-02-06,03:30,Friday,ORR_23,Cloudy,0,Low
2026-02-06,03:30,Friday,MG_ROAD,Clear,1,Low
2026-02-06,03:30,Friday,HSR_LAYOUT_1,Rainy,16,Low
2026-02-06,03:30,Friday,KORAMANGALA_100FT,Clear,11,Low
2026-02-06,03:30,Friday,WHITEFIELD_MAIN,Clear,1,Low
2026-02-06,03:30,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,25,Low
2026-02-06,03:45,Friday,ORR_23,Cloudy,13,Low
2026-02-06,03:45,Friday,MG_ROAD,Clear,23,Low
2026-02-06,03:45,Friday,HSR_LAYOUT_1,Rainy,0,Low
2026-02-06,03:45,Friday,KORAMANGALA_100FT,Clear,3,Low
2026-02-06,03:45,Friday,WHITEFIELD_MAIN,Clear,3,Low
2026-02-06,03:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,0,Low
2026-02-06,04:00,Friday,ORR_23,Clear,17,Low
2026-02-06,04:00,Friday,MG_ROAD,Clear,12,Low
2026-02-06,04:00,Friday,HSR_LAYOUT_1,Cloudy,6,Low
2026-02-06,04:00,Friday,KORAMANGALA_100FT,Cloudy,4,Low
2026-02-06,04:00,Friday,WHITEFIELD_MAIN,Rainy,0,Low
2026-02-06,04:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,3,Low
2026-02-06,04:15,Friday,ORR_23,Clear,5,Low
2026-02-06,04:15,Friday,MG_ROAD,Clear,0,Low
2026-02-06,04:15,Friday,HSR_LAYOUT_1,Clear,4,Low
2026-02-06,04:15,Friday,KORAMANGALA_100FT,Clear,12,Low
2026-02-06,04:15,Friday,WHITEFIELD_MAIN,Cloudy,44,Low
2026-02-06,04:15,Friday,ELECTRONIC_CITY_PHASE_1,Clear,15,Low
2026-02-06,04:30,Friday,ORR_23,Clear,17,Low
2026-02-06,04:30,Friday,MG_ROAD,Cloudy,7,Low
2026-02-06,04:30,Friday,HSR_LAYOUT_1,Clear,0,Low
2026-02-06,04:30,Friday,KORAMANGALA_100FT,Clear,6,Low
2026-02-06,04:30,Friday,WHITEFIELD_MAIN,Clear,11,Low
2026-02-06,04:30,Friday,ELECTRONIC_CITY_PHASE_1,Clear,61,Low
2026-02-06,04:45,Friday,ORR_23,Clear,8,Low
2026-02-06,04:45,Friday,MG_ROAD,Clear,13,Low
2026-02-06,04:45,Friday,HSR_LAYOUT_1,Clear,5,Low
2026-02-06,04:45,Friday,KORAMANGALA_100FT,Rainy,0,Low
2026-02-06,04:45,Friday,WHITEFIELD_MAIN,Clear,31,Low
2026-02-06,04:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,27,Low
2026-02-06,05:00,Friday,ORR_23,Clear,75,Low
2026-02-06,05:00,Friday,MG_ROAD,Clear,31,Low
2026-02-06,05:00,Friday,HSR_LAYOUT_1,Clear,44,Medium
2026-02-06,05:00,Friday,KORAMANGALA_100FT,Clear,19,Low
2026-02-06,05:00,Friday,WHITEFIELD_MAIN,Clear,64,Low
2026-02-06,05:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,103,Medium
2026-02-06,05:15,Friday,ORR_23,Cloudy,40,Low
2026-02-06,05:15,Friday,MG_ROAD,Clear,36,Low
2026-02-06,05:15,Friday,HSR_LAYOUT_1,Clear,30,Low
2026-02-06,05:15,Friday,KORAMANGALA_100FT,Rainy,40,Low
2026-02-06,05:15,Friday,WHITEFIELD_MAIN,Clear,26,Low
2026-02-06,05:15,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,79,Low
2026-02-06,05:30,Friday,ORR_23,Clear,38,Low
2026-02-06,05:30,Friday,MG_ROAD,Clear,169,High
2026-02-06,05:30,Friday,HSR_LAYOUT_1,Clear,20,Low
2026-02-06,05:30,Friday,KORAMANGALA_100FT,Cloudy,54,Medium
2026-02-06,05:30,Friday,WHITEFIELD_MAIN,Clear,39,Low
2026-02-06,05:30,Friday,ELECTRONIC_CITY_PHASE_1,Clear,53,Low
2026-02-06,05:45,Friday,ORR_23,Clear,76,Low
2026-02-06,05:45,Friday,MG_ROAD,Clear,26,Low
2026-02-06,05:45,Friday,HSR_LAYOUT_1,Clear,32,Low
2026-02-06,05:45,Friday,KORAMANGALA_100FT,Cloudy,51,Medium
2026-02-06,05:45,Friday,WHITEFIELD_MAIN,Clear,25,Low
2026-02-06,05:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,221,High
2026-02-06,06:00,Friday,ORR_23,Clear,65,Low
2026-02-06,06:00,Friday,MG_ROAD,Rainy,70,Medium
2026-02-06,06:00,Friday,HSR_LAYOUT_1,Clear,83,High
2026-02-06,06:00,Friday,KORAMANGALA_100FT,Rainy,30,Low
2026-02-06,06:00,Friday,WHITEFIELD_MAIN,Clear,63,Low
2026-02-06,06:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,65,Low
2026-02-06,06:15,Friday,ORR_23,Clear,65,Low
2026-02-06,06:15,Friday,MG_ROAD,Rainy,63,Medium
2026-02-06,06:15,Friday,HSR_LAYOUT_1,Rainy,32,Low
2026-02-06,06:15,Friday,KORAMANGALA_100FT,Clear,38,Low
2026-02-06,06:15,Friday,WHITEFIELD_MAIN,Clear,59,Low
2026-02-06,06:15,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,63,Low
2026-02-06,06:30,Friday,ORR_23,Clear,97,Medium
2026-02-06,06:30,Friday,MG_ROAD,Cloudy,52,Low
2026-02-06,06:30,Friday,HSR_LAYOUT_1,Cloudy,18,Low
2026-02-06,06:30,Friday,KORAMANGALA_100FT,Rainy,54,Medium
2026-02-06,06:30,Friday,WHITEFIELD_MAIN,Rainy,52,Low
2026-02-06,06:30,Friday,ELECTRONIC_CITY_PHASE_1,Cloudy,75,Low
2026-02-06,06:45,Friday,ORR_23,Rainy,101,Medium
2026-02-06,06:45,Friday,MG_ROAD,Clear,32,Low
2026-02-06,06:45,Friday,HSR_LAYOUT_1,Clear,39,Low
2026-02-06,06:45,Friday,KORAMANGALA_100FT,Rainy,51,Medium
2026-02-06,06:45,Friday,WHITEFIELD_MAIN,Rainy,84,Medium
2026-02-06,06:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,97,Medium
2026-02-06,07:00,Friday,ORR_23,Clear,55,Low
2026-02-06,07:00,Friday,MG_ROAD,Clear,33,Low
2026-02-06,07:00,Friday,HSR_LAYOUT_1,Rainy,30,Low
2026-02-06,07:00,Friday,KORAMANGALA_100FT,Clear,26,Low
2026-02-06,07:00,Friday,WHITEFIELD_MAIN,Clear,52,Low
2026-02-06,07:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,66,Low
2026-02-06,07:15,Friday,ORR_23,Clear,65,Low
2026-02-06,07:15,Friday,MG_ROAD,Clear,57,Low
2026-02-06,07:15,Friday,HSR_LAYOUT_1,Clear,30,Low
2026-02-06,07:15,Friday,KORAMANGALA_100FT,Clear,53,Medium
2026-02-06,07:15,Friday,WHITEFIELD_MAIN,Clear,49,Low
2026-02-06,07:15,Friday,ELECTRONIC_CITY_PHASE_1,Clear,114,Medium
2026-02-06,07:30,Friday,ORR_23,Clear,72,Low
2026-02-06,07:30,Friday,MG_ROAD,Rainy,175,High
2026-02-06,07:30,Friday,HSR_LAYOUT_1,Clear,19,Low
2026-02-06,07:30,Friday,KORAMANGALA_100FT,Rainy,52,Medium
2026-02-06,07:30,Friday,WHITEFIELD_MAIN,Clear,49,Low
2026-02-06,07:30,Friday,ELECTRONIC_CITY_PHASE_1,Clear,74,Low
2026-02-06,07:45,Friday,ORR_23,Clear,69,Low
2026-02-06,07:45,Friday,MG_ROAD,Rainy,57,Low
2026-02-06,07:45,Friday,HSR_LAYOUT_1,Clear,21,Low
2026-02-06,07:45,Friday,KORAMANGALA_100FT,Clear,17,Low
2026-02-06,07:45,Friday,WHITEFIELD_MAIN,Clear,45,Low
2026-02-06,07:45,Friday,ELECTRONIC_CITY_PHASE_1,Cloudy,77,Low
2026-02-06,08:00,Friday,ORR_23,Cloudy,154,High
2026-02-06,08:00,Friday,MG_ROAD,Clear,93,Medium
2026-02-06,08:00,Friday,HSR_LAYOUT_1,Clear,76,High
2026-02-06,08:00,Friday,KORAMANGALA_100FT,Clear,94,High
2026-02-06,08:00,Friday,WHITEFIELD_MAIN,Clear,119,Medium
2026-02-06,08:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,153,High
2026-02-06,08:15,Friday,ORR_23,Clear,151,High
2026-02-06,08:15,Friday,MG_ROAD,Rainy,129,High
2026-02-06,08:15,Friday,HSR_LAYOUT_1,Clear,78,High
2026-02-06,08:15,Friday,KORAMANGALA_100FT,Clear,96,High
2026-02-06,08:15,Friday,WHITEFIELD_MAIN,Rainy,194,High
2026-02-06,08:15,Friday,ELECTRONIC_CITY_PHASE_1,Clear,171,High
2026-02-06,08:30,Friday,ORR_23,Clear,122,Medium
2026-02-06,08:30,Friday,MG_ROAD,Clear,98,Medium
2026-02-06,08:30,Friday,HSR_LAYOUT_1,Rainy,102,High
2026-02-06,08:30,Friday,KORAMANGALA_100FT,Clear,96,High
2026-02-06,08:30,Friday,WHITEFIELD_MAIN,Clear,144,High
2026-02-06,08:30,Friday,ELECTRONIC_CITY_PHASE_1,Clear,227,High
2026-02-06,08:45,Friday,ORR_23,Clear,220,High
2026-02-06,08:45,Friday,MG_ROAD,Rainy,163,High
2026-02-06,08:45,Friday,HSR_LAYOUT_1,Clear,84,High
2026-02-06,08:45,Friday,KORAMANGALA_100FT,Cloudy,97,High
2026-02-06,08:45,Friday,WHITEFIELD_MAIN,Clear,129,Medium
2026-02-06,08:45,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,210,High
2026-02-06,09:00,Friday,ORR_23,Rainy,179,High
2026-02-06,09:00,Friday,MG_ROAD,Cloudy,108,Medium
2026-02-06,09:00,Friday,HSR_LAYOUT_1,Cloudy,70,Medium
2026-02-06,09:00,Friday,KORAMANGALA_100FT,Clear,90,High
2026-02-06,09:00,Friday,WHITEFIELD_MAIN,Clear,176,High
2026-02-06,09:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,112,Medium
2026-02-06,09:15,Friday,ORR_23,Rainy,208,High
2026-02-06,09:15,Friday,MG_ROAD,Clear,88,Medium
2026-02-06,09:15,Friday,HSR_LAYOUT_1,Clear,70,Medium
2026-02-06,09:15,Friday,KORAMANGALA_100FT,Clear,103,High
2026-02-06,09:15,Friday,WHITEFIELD_MAIN,Clear,136,High
2026-02-06,09:15,Friday,ELECTRONIC_CITY_PHASE_1,Clear,128,Medium
2026-02-06,09:30,Friday,ORR_23,Clear,135,Medium
2026-02-06,09:30,Friday,MG_ROAD,Clear,122,High
2026-02-06,09:30,Friday,HSR_LAYOUT_1,Clear,67,Medium
2026-02-06,09:30,Friday,KORAMANGALA_100FT,Clear,92,High
2026-02-06,09:30,Friday,WHITEFIELD_MAIN,Clear,135,High
2026-02-06,09:30,Friday,ELECTRONIC_CITY_PHASE_1,Clear,136,Medium
2026-02-06,09:45,Friday,ORR_23,Cloudy,192,High
2026-02-06,09:45,Friday,MG_ROAD,Clear,122,High
2026-02-06,09:45,Friday,HSR_LAYOUT_1,Rainy,77,High
2026-02-06,09:45,Friday,KORAMANGALA_100FT,Clear,92,High
2026-02-06,09:45,Friday,WHITEFIELD_MAIN,Rainy,163,High
2026-02-06,09:45,Friday,ELECTRONIC_CITY_PHASE_1,Cloudy,167,High
2026-02-06,10:00,Friday,ORR_23,Rainy,179,High
2026-02-06,10:00,Friday,MG_ROAD,Clear,110,Medium
2026-02-06,10:00,Friday,HSR_LAYOUT_1,Clear,80,High
2026-02-06,10:00,Friday,KORAMANGALA_100FT,Clear,100,High
2026-02-06,10:00,Friday,WHITEFIELD_MAIN,Clear,113,Medium
2026-02-06,10:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,143,Medium
2026-02-06,10:15,Friday,ORR_23,Clear,140,Medium
2026-02-06,10:15,Friday,MG_ROAD,Clear,102,Medium
2026-02-06,10:15,Friday,HSR_LAYOUT_1,Clear,92,High
2026-02-06,10:15,Friday,KORAMANGALA_100FT,Clear,94,High
2026-02-06,10:15,Friday,WHITEFIELD_MAIN,Clear,112,Medium
2026-02-06,10:15,Friday,ELECTRONIC_CITY_PHASE_1,Clear,168,High
2026-02-06,10:30,Friday,ORR_23,Clear,192,High
2026-02-06,10:30,Friday,MG_ROAD,Clear,127,High
2026-02-06,10:30,Friday,HSR_LAYOUT_1,Rainy,82,High
2026-02-06,10:30,Friday,KORAMANGALA_100FT,Clear,121,High
2026-02-06,10:30,Friday,WHITEFIELD_MAIN,Cloudy,157,High
2026-02-06,10:30,Friday,ELECTRONIC_CITY_PHASE_1,Clear,135,Medium
2026-02-06,10:45,Friday,ORR_23,Clear,158,High
2026-02-06,10:45,Friday,MG_ROAD,Cloudy,124,High
2026-02-06,10:45,Friday,HSR_LAYOUT_1,Clear,65,Medium
2026-02-06,10:45,Friday,KORAMANGALA_100FT,Clear,89,Medium
2026-02-06,10:45,Friday,WHITEFIELD_MAIN,Clear,76,Medium
2026-02-06,10:45,Friday,ELECTRONIC_CITY_PHASE_1,Clear,129,Medium
2026-02-06,11:00,Friday,ORR_23,Clear,54,Low
2026-02-06,11:00,Friday,MG_ROAD,Rainy,39,Low
2026-02-06,11:00,Friday,HSR_LAYOUT_1,Rainy,55,Medium
2026-02-06,11:00,Friday,KORAMANGALA_100FT,Clear,18,Low
2026-02-06,11:00,Friday,WHITEFIELD_MAIN,Clear,46,Low
2026-02-06,11:00,Friday,ELECTRONIC_CITY_PHASE_1,Cloudy,62,Low
2026-02-06,11:15,Friday,ORR_23,Rainy,106,Medium
2026-02-06,11:15,Friday,MG_ROAD,Clear,23,Low
2026-02-06,11:15,Friday,HSR_LAYOUT_1,Clear,41,Medium
2026-02-06,11:15,Friday,KORAMANGALA_100FT,Rainy,46,Low
2026-02-06,11:15,Friday,WHITEFIELD_MAIN,Clear,36,Low
2026-02-06,11:15,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,87,Medium
2026-02-06,11:30,Friday,ORR_23,Clear,63,Low
2026-02-06,11:30,Friday,MG_ROAD,Clear,35,Low
2026-02-06,11:30,Friday,HSR_LAYOUT_1,Rainy,39,Low
2026-02-06,11:30,Friday,KORAMANGALA_100FT,Clear,31,Low
2026-02-06,11:30,Friday,WHITEFIELD_MAIN,Clear,56,Low
2026-02-06,11:30,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,91,Medium
2026-02-06,11:45,Friday,ORR_23,Rainy,109,Medium
2026-02-06,11:45,Friday,MG_ROAD,Clear,26,Low
2026-02-06,11:45,Friday,HSR_LAYOUT_1,Clear,51,Medium
2026-02-06,11:45,Friday,KORAMANGALA_100FT,Clear,12,Low
2026-02-06,11:45,Friday,WHITEFIELD_MAIN,Clear,51,Low
2026-02-06,11:45,Friday,ELECTRONIC_CITY_PHASE_1,Rainy,89,Medium
2026-02-06,12:00,Friday,ORR_23,Rainy,122,Medium
2026-02-06,12:00,Friday,MG_ROAD,Clear,58,Low
2026-02-06,12:00,Friday,HSR_LAYOUT_1,Clear,42,Medium
2026-02-06,12:00,Friday,KORAMANGALA_100FT,Rainy,64,Medium
2026-02-06,12:00,Friday,WHITEFIELD_MAIN,Clear,70,Low
2026-02-06,12:00,Friday,ELECTRONIC_CITY_PHASE_1,Clear,106,Medium
2026-02-06,12:15,Friday,ORR_23,Rainy,124,Medium
2026-02-06,12:15,Friday,MG_ROAD,Clear,57,Low
